shop_id,chain_code,chain_name,shop_name,address,lat,lng,payment_tags,source_url
blue-tag-shop-8d22274dca,blue-tag,家電,コヤマデンキ,岡山県倉敷市玉島　爪崎664,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
be-en-83dcfca43e,blue-tag,その他,コワーキングスペースBE-EN,和歌山県和歌山市美園町５丁目６－１３2、3階,,,blue_tag,https://be-en.com/
blue-tag-shop-f97e7bd359,blue-tag,その他小売り,サイクリング・サロン・ヒロシゲ,山口県柳井市天神14-22,,,blue_tag,https://hiroshige.co.jp
blue-tag-shop-a6776853b6,blue-tag,レンタカー,サザンセト交通株式会社,滋賀県栗東市小柿7丁目1-28,,,blue_tag,https://southernseto.sakura.ne.jp/
noo-39c71b099c,blue-tag,居酒屋・バー,サブカルエンターテイメントアニソンバーnoo,大阪府大阪市中央区東心斎橋2-5-10八幡筋ギャラクシービル 2号館 403,,,blue_tag,https://subculentertainment.com/anisonbarnoo/
round2-93d6816795,blue-tag,居酒屋・バー,サブカルエンターテイメントバーRound2,大阪府大阪市中央区千日前1丁目6-20坂町ビル地下1階,,,blue_tag,https://subculentertainment.com/round2/
blue-tag-shop-d43c0d9f43,blue-tag,居酒屋・バー,サブカルエンターテイメントバー魔王城,大阪府大阪市中央区東心斎橋２丁目１－５ゴールデン第一プラザビル10階,,,blue_tag,https://subculentertainment.com/maoujo/
blue-tag-shop-ebf0f81d56,blue-tag,美容・理容,サロンひろみ,大阪府泉北郡　忠岡町忠岡東3-1-28,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-eadaab0074,blue-tag,その他,サンエイト美都,島根県益田市美都町　宇津川　ロ586-2,,,blue_tag,http://mitoshin.net/
blue-tag-shop-7dd98b2cbe,blue-tag,ホビー・玩具,サンショップ大阪,大阪府寝屋川市田井町33-44,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-8a3293b052,blue-tag,タクシー,サンタクシー株式会社,大阪府大阪市　淀川区十三元今里　2-1-12,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-808263d1ad,blue-tag,旅行代理店,サントラベル,福井県鯖江市有定町一丁目１０番８号,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
